このファイルは OpenJDK・OracleJDK・Temurin の issue_ids.txt を比較し、三製品で一致しない JDK 番号と各 Fix Version/s を一覧化したものです。

JDK         | OpenJDK | OracleJDK | Temurin | Fix Version/s
JDK-8343545 | N       | Y         | N       | 23.0.2
JDK-8343567 | N       | Y         | N       | 24
JDK-8344145 | N       | Y         | N       | 24
JDK-8345625 | N       | N         | Y       | Issueページなし
JDK-8345967 | N       | Y         | N       | 21.0.7-oracle
JDK-8346285 | N       | Y         | N       | 25
JDK-8346837 | N       | Y         | N       | 25
JDK-8347612 | N       | Y         | N       | 21.0.8-oracle, 24
JDK-8347847 | N       | N         | Y       | Issueページなし
JDK-8347928 | N       | Y         | N       | 25
JDK-8348690 | N       | Y         | N       | 25
JDK-8348989 | N       | N         | Y       | Issueページなし
JDK-8349111 | N       | N         | Y       | Issueページなし
JDK-8349210 | N       | Y         | N       | 21.0.8-oracle
JDK-8349213 | N       | Y         | N       | 25
JDK-8349286 | N       | Y         | N       | 25
JDK-8349594 | N       | N         | Y       | Issueページなし
JDK-8349913 | N       | Y         | N       | 21.0.8-oracle
JDK-8350430 | N       | Y         | N       | 21.0.7-oracle
JDK-8350991 | N       | N         | Y       | Issueページなし
JDK-8351686 | N       | Y         | N       | 7u471, 8u461, 8u461-perf, 11.0.28-oracle, 17.0.16-oracle, 21.0.8-oracle, 24.0.2, 25
JDK-8353962 | N       | Y         | N       | 21.0.8-oracle
JDK-8354965 | N       | Y         | N       | 21.0.8-oracle
JDK-8355325 | N       | Y         | N       | 7u471, 8u461, 8u461-perf, 11.0.28-oracle, 17.0.16-oracle, 21.0.8-oracle, 24.0.2, 25
JDK-8357147 | N       | Y         | N       | 25
JDK-8358764 | N       | Y         | N       | 26
JDK-8359171 | N       | Y         | N       | 7u471, 8u461, 8u461-perf, 11.0.28-oracle, 17.0.16-oracle, 21.0.8-oracle, 24.0.2, 25
JDK-8360147 | N       | N         | Y       | Issueページなし
JDK-8361537 | N       | Y         | N       | 25
JDK-8367892 | N       | Y         | N       | 26

全てのプロダクトで一致したJDK件数: 4857
プロダクトごとに差分のあるJDK件数: 215
Fix Version/sが21以外のJDK件数: 98
