JDK         | OpenJDK | OracleJDK | Temurin
JDK-8293598 | N       | N         | Y      
JDK-8293667 | N       | N         | Y      
JDK-8293717 | N       | N         | Y      
JDK-8293734 | N       | N         | Y      
JDK-8293742 | N       | N         | Y      
JDK-8293786 | N       | N         | Y      
JDK-8293824 | N       | N         | Y      
JDK-8293841 | N       | N         | Y      
JDK-8293862 | N       | N         | Y      
JDK-8294066 | N       | N         | Y      
JDK-8294137 | N       | N         | Y      
JDK-8294194 | N       | N         | Y      
JDK-8294266 | N       | N         | Y      
JDK-8294323 | N       | N         | Y      
JDK-8294402 | N       | N         | Y      
JDK-8294403 | N       | N         | Y      
JDK-8294474 | N       | N         | Y      
JDK-8294484 | N       | N         | Y      
JDK-8294526 | N       | N         | Y      
JDK-8294527 | N       | N         | Y      
JDK-8294677 | N       | N         | Y      
JDK-8294680 | N       | N         | Y      
JDK-8294693 | N       | N         | Y      
JDK-8294715 | N       | N         | Y      
JDK-8294744 | N       | N         | Y      
JDK-8294806 | N       | N         | Y      
JDK-8294902 | N       | N         | Y      
JDK-8294959 | N       | N         | Y      
JDK-8294962 | N       | N         | Y      
JDK-8294966 | N       | N         | Y      
JDK-8294971 | N       | N         | Y      
JDK-8294972 | N       | N         | Y      
JDK-8294974 | N       | N         | Y      
JDK-8294982 | N       | N         | Y      
JDK-8294983 | N       | N         | Y      
JDK-8295019 | N       | N         | Y      
JDK-8295071 | N       | N         | Y      
JDK-8295087 | N       | N         | Y      
JDK-8295304 | N       | N         | Y      
JDK-8295344 | N       | N         | Y      
JDK-8295406 | N       | N         | Y      
JDK-8295425 | N       | N         | Y      
JDK-8295486 | N       | N         | Y      
JDK-8295661 | N       | N         | Y      
JDK-8295687 | N       | N         | Y      
JDK-8295723 | N       | N         | Y      
JDK-8295737 | N       | N         | Y      
JDK-8295857 | N       | N         | Y      
JDK-8295859 | N       | N         | Y      
JDK-8295884 | N       | N         | Y      
JDK-8295944 | N       | N         | Y      
JDK-8295951 | N       | N         | Y      
JDK-8295974 | N       | N         | Y      
JDK-8295976 | N       | N         | Y      
JDK-8295979 | N       | N         | Y      
JDK-8296010 | N       | N         | Y      
JDK-8296149 | N       | N         | Y      
JDK-8296150 | N       | N         | Y      
JDK-8296151 | N       | N         | Y      
JDK-8296153 | N       | N         | Y      
JDK-8296158 | N       | N         | Y      
JDK-8296248 | N       | N         | Y      
JDK-8296275 | N       | N         | Y      
JDK-8296318 | N       | N         | Y      
JDK-8296322 | N       | N         | Y      
JDK-8296343 | N       | N         | Y      
JDK-8296344 | N       | N         | Y      
JDK-8296374 | N       | N         | Y      
JDK-8296389 | N       | N         | Y      
JDK-8296400 | N       | N         | Y      
JDK-8296401 | N       | N         | Y      
JDK-8296403 | N       | N         | Y      
JDK-8296410 | N       | N         | Y      
JDK-8296411 | N       | N         | Y      
JDK-8296412 | N       | N         | Y      
JDK-8296420 | N       | N         | Y      
JDK-8296454 | N       | N         | Y      
JDK-8296469 | N       | N         | Y      
JDK-8296478 | N       | N         | Y      
JDK-8296565 | N       | N         | Y      
JDK-8296581 | N       | N         | Y      
JDK-8296610 | N       | N         | Y      
JDK-8296646 | N       | N         | Y      
JDK-8296656 | N       | N         | Y      
JDK-8296661 | N       | N         | Y      
JDK-8296676 | N       | N         | Y      
JDK-8296684 | N       | N         | Y      
JDK-8296692 | N       | N         | Y      
JDK-8296789 | N       | N         | Y      
JDK-8296812 | N       | N         | Y      
JDK-8296832 | N       | N         | Y      
JDK-8296920 | N       | N         | Y      
JDK-8296934 | N       | N         | Y      
JDK-8296935 | N       | N         | Y      
JDK-8296955 | N       | N         | Y      
JDK-8296999 | N       | N         | Y      
JDK-8297031 | N       | N         | Y      
JDK-8297036 | N       | N         | Y      
JDK-8297092 | N       | N         | Y      
JDK-8297158 | N       | N         | Y      
JDK-8297235 | N       | N         | Y      
JDK-8297286 | N       | N         | Y      
JDK-8297288 | N       | N         | Y      
JDK-8297292 | N       | N         | Y      
JDK-8297295 | N       | N         | Y      
JDK-8297296 | N       | N         | Y      
JDK-8297302 | N       | N         | Y      
JDK-8297305 | N       | N         | Y      
JDK-8297306 | N       | N         | Y      
JDK-8297371 | N       | N         | Y      
JDK-8297437 | N       | N         | Y      
JDK-8297454 | N       | N         | Y      
JDK-8297487 | N       | N         | Y      
JDK-8297505 | N       | N         | Y      
JDK-8297539 | N       | N         | Y      
JDK-8297572 | N       | N         | Y      
JDK-8297582 | N       | N         | Y      
JDK-8297587 | N       | N         | Y      
JDK-8297605 | N       | N         | Y      
JDK-8297611 | N       | N         | Y      
JDK-8297632 | N       | N         | Y      
JDK-8297638 | N       | N         | Y      
JDK-8297639 | N       | N         | Y      
JDK-8297657 | N       | N         | Y      
JDK-8297679 | N       | N         | Y      
JDK-8297682 | N       | N         | Y      
JDK-8297724 | N       | N         | Y      
JDK-8297730 | N       | N         | Y      
JDK-8297753 | N       | N         | Y      
JDK-8297757 | N       | N         | Y      
JDK-8297778 | N       | N         | Y      
JDK-8297791 | N       | N         | Y      
JDK-8297798 | N       | N         | Y      
JDK-8297801 | N       | N         | Y      
JDK-8297822 | N       | N         | Y      
JDK-8297851 | N       | N         | Y      
JDK-8297856 | N       | N         | Y      
JDK-8297874 | N       | N         | Y      
JDK-8297877 | N       | N         | Y      
JDK-8297878 | N       | N         | Y      
JDK-8297885 | N       | N         | Y      
JDK-8297887 | N       | N         | Y      
JDK-8297912 | N       | N         | Y      
JDK-8297914 | N       | N         | Y      
JDK-8297923 | N       | N         | Y      
JDK-8297933 | N       | N         | Y      
JDK-8297936 | N       | N         | Y      
JDK-8297955 | N       | N         | Y      
JDK-8297960 | N       | N         | Y      
JDK-8297972 | N       | N         | Y      
JDK-8297977 | N       | N         | Y      
JDK-8297979 | N       | N         | Y      
JDK-8297988 | N       | N         | Y      
JDK-8298038 | N       | N         | Y      
JDK-8298047 | N       | N         | Y      
JDK-8298048 | N       | N         | Y      
JDK-8298050 | N       | N         | Y      
JDK-8298059 | N       | N         | Y      
JDK-8298061 | N       | N         | Y      
JDK-8298065 | N       | N         | Y      
JDK-8298066 | N       | N         | Y      
JDK-8298073 | N       | N         | Y      
JDK-8298081 | N       | N         | Y      
JDK-8298083 | N       | N         | Y      
JDK-8298084 | N       | N         | Y      
JDK-8298087 | N       | N         | Y      
JDK-8298088 | N       | N         | Y      
JDK-8298090 | N       | N         | Y      
JDK-8298093 | N       | N         | Y      
JDK-8298118 | N       | N         | Y      
JDK-8298126 | N       | N         | Y      
JDK-8298127 | N       | N         | Y      
JDK-8298128 | N       | N         | Y      
JDK-8298133 | N       | N         | Y      
JDK-8298138 | N       | N         | Y      
JDK-8298144 | N       | N         | Y      
JDK-8298162 | N       | N         | Y      
JDK-8298176 | N       | N         | Y      
JDK-8298187 | N       | N         | Y      
JDK-8298189 | N       | N         | Y      
JDK-8298190 | N       | N         | Y      
JDK-8298215 | N       | N         | Y      
JDK-8298217 | N       | N         | Y      
JDK-8298225 | N       | N         | Y      
JDK-8298240 | N       | N         | Y      
JDK-8298241 | N       | N         | Y      
JDK-8298244 | N       | N         | Y      
JDK-8298249 | N       | N         | Y      
JDK-8298264 | N       | N         | Y      
JDK-8298271 | N       | N         | Y      
JDK-8298276 | N       | N         | Y      
JDK-8298277 | N       | N         | Y      
JDK-8298278 | N       | N         | Y      
JDK-8298281 | N       | N         | Y      
JDK-8298293 | N       | N         | Y      
JDK-8298296 | N       | N         | Y      
JDK-8298298 | N       | N         | Y      
JDK-8298310 | N       | N         | Y      
JDK-8298320 | N       | N         | Y      
JDK-8298321 | N       | N         | Y      
JDK-8298324 | N       | N         | Y      
JDK-8298340 | N       | N         | Y      
JDK-8298343 | N       | N         | Y      
JDK-8298345 | N       | N         | Y      
JDK-8298353 | N       | N         | Y      
JDK-8298371 | N       | N         | Y      
