issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8341257,21.0.x,excluded,classlib,,対応不要,"keywords=open source,test; labels=noreg-self",doc_or_test,Open source few DND tests - Set1,client-libs,java.awt,"jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,noreg-self,sn_179,test_sprint",24
JDK-8341259,21.0.6,needs_review,runtime_core,,要確認,,,Improve CDSHeapVerifier in handling of interned strings,hotspot,runtime,,21.0.6
JDK-8341320,21.0.6,needs_review,security,,要確認,,,PKCS11 tests still skip execution,security-libs,java.security,,21.0.6
JDK-8341322,21.0.6,needs_review,runtime_core,,要確認,,,C1: assert(0 <= i && i < _len) failed: illegal index 5 for length 5,hotspot,compiler,,21.0.6
JDK-8341323,21.0.6,needs_review,runtime_core,,要確認,,,Parsing jsr broken: assert(bci>= 0 && bci < c->method()->code_size()) failed: index out of bounds,hotspot,runtime,,21.0.6
JDK-8341424,21.0.x,needs_review,test_infra,,要確認,,,GHA: Collect hs_errs from build time failures,infrastructure,build,"amazon-interest,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes",24
JDK-8341479,21.0.6,needs_review,runtime_core,,要確認,,,[PPC64] SA determines wrong unextendedSP,hotspot,svc-agent,,21.0.6
JDK-8341515,21.0.6,excluded,runtime_core,,対応不要,targets=windows server,non_windows11_platform,Update OS detection code to recognize Windows Server 2025,hotspot,runtime,,21.0.6
JDK-8341537,21.0.6,excluded,test_infra,,対応不要,targets=macos,non_windows11_platform,GHA: MacOS AArch64 bundles can be removed prematurely,infrastructure,build,,21.0.6
JDK-8341583,21.0.6,needs_review,test_infra,,要確認,,,doc/building.md update Xcode instructions to note that full install is required,infrastructure,build,,21.0.6
JDK-8341620,21.0.6,needs_review,security,,要確認,,,Unaddressed comments during code review of JDK-8337664,security-libs,javax.net.ssl,,21.0.6
JDK-8341698,21.0.6,needs_review,security,,要確認,,,Update TLSCommon/interop/AbstractServer to specify an interface to listen for connections,security-libs,javax.net.ssl,,21.0.6
JDK-8341699,21.0.6,needs_review,classlib,,要確認,,,Refactor KeyEvent/FunctionKeyTest.java,client-libs,java.awt,,21.0.6
JDK-8341779,21.0.8,needs_review,compiler_tools,,要確認,,,[REDO BACKPORT] type annotations are not visible to javac plugins across compilation boundaries (JDK-8225377),tools,javac,"22-na,javac-plugin,jdk21u-fix-SQE-ok,jdk21u-fix-request,jdk21u-fix-yes,type-annotations",21.0.8
JDK-8341821,21.0.6,needs_review,runtime_core,,要確認,,,The class LogSelection copies uninitialized memory,hotspot,runtime,,21.0.6
JDK-8341823,21.0.6,excluded,gc,,対応不要,component=hotspot/gc; keywords=\bzgc\b,gc_related,ZGC: Division by zero in rule_major_allocation_rate,hotspot,gc,,21.0.6
JDK-8341824,21.0.6,needs_review,classlib,,要確認,,,ProcessHandleImpl os_getChildren sysctl call - retry in case of ENOMEM and enhance exception message,core-libs,java.lang,,21.0.6
JDK-8341941,21.0.6,needs_review,interop,,要確認,,,(se) Deferred close of SelectableChannel may result in a Selector doing the final close before concurrent I/O on channel has completed,core-libs,java.nio,,21.0.6
JDK-8341942,21.0.6,needs_review,classlib,,要確認,,,Convert applet test java/awt/List/SetFontTest/SetFontTest.html to main program,client-libs,java.awt,,21.0.6
JDK-8341943,21.0.6,needs_review,runtime_core,,要確認,,,Exclude two compiler/rtm/locking tests on ppc64le,hotspot,compiler,,21.0.6
JDK-8341960,21.0.6,needs_review,runtime_core,,要確認,,,RISC-V: Generate comments in -XX:+PrintInterpreter to link to source code,hotspot,runtime,,21.0.6
JDK-8341962,21.0.6,needs_review,runtime_core,,要確認,,,"ubsan : dependencies.cpp:906:3: runtime error: load of value 4294967295, which is not a valid value for type 'DepType'",hotspot,compiler,,21.0.6
JDK-8341973,21.0.6,needs_review,runtime_core,,要確認,,,RISC-V: C2: Small improvement to vector gather load and scatter store,hotspot,compiler,,21.0.6
JDK-8342020,21.0.6,needs_review,runtime_core,,要確認,,,[IR Framework] Add support for IR tests with @Stable,hotspot,compiler,,21.0.6
JDK-8342021,21.0.6,needs_review,runtime_core,,要確認,,,Test testlibrary_tests/ir_framework/tests/TestPrivilegedMode.java fails with release build,hotspot,compiler,,21.0.6
JDK-8342048,21.0.6,needs_review,runtime_core,,要確認,,,runtime/logging/ClassLoadUnloadTest.java doesn't reliably trigger class unloading,hotspot,runtime,,21.0.6
JDK-8342049,21.0.6,needs_review,security,,要確認,,,Update NSS to version 3.96,security-libs,javax.crypto:pkcs11,,21.0.6
JDK-8342050,21.0.6,needs_review,runtime_core,,要確認,,,Test runtime/classFileParserBug/Bad_NCDFE_Msg.java won't compile,hotspot,runtime,,21.0.6
JDK-8342054,21.0.6,needs_review,classlib,,要確認,,,KeyEvent/KeyTyped/Numpad1KeyTyped.java has 15 seconds timeout,client-libs,java.awt,,21.0.6
