issue_id,category,rules,details
JDK-8352238,review,,
JDK-8352240,review,,
JDK-8352283,excluded,gc_related,component=hotspot/gc; keywords=\bshenandoah\b
JDK-8352285,review,,
JDK-8352286,review,,
JDK-8352425,review,,
JDK-8352436,review,,
JDK-8352438,review,,
JDK-8352513,review,,
JDK-8352515,excluded,doc_or_test,"keywords=open source,test"
JDK-8352516,review,,
JDK-8352517,excluded,doc_or_test,"keywords=open source,test"
JDK-8352518,excluded,doc_or_test,"keywords=open source,test"
JDK-8352519,excluded,doc_or_test,"keywords=open source,test"
JDK-8352522,excluded,doc_or_test,"keywords=open source,test"
JDK-8352523,review,,
JDK-8352524,review,,
JDK-8352525,review,,
JDK-8352526,review,,
JDK-8352538,review,,
JDK-8352539,review,,
JDK-8352543,review,,
JDK-8352544,review,,
JDK-8352586,excluded,doc_or_test,"keywords=jtreg,test"
JDK-8352658,review,,
JDK-8352771,review,,
JDK-8352772,excluded,non_windows11_platform,targets=linux
JDK-8353071,review,,
JDK-8353072,review,,
JDK-8353076,excluded,doc_or_test,"keywords=open source,test"
JDK-8353077,excluded,doc_or_test,"keywords=open source,test"
JDK-8353078,excluded,doc_or_test,"keywords=open source,test"
JDK-8353081,excluded,doc_or_test,"keywords=open source,test"
JDK-8353082,excluded,doc_or_test,"keywords=open source,test"
JDK-8353096,review,,
JDK-8353102,excluded,gc_related,component=hotspot/gc; keywords=\bg1\b
JDK-8353128,review,,
JDK-8353140,review,,
JDK-8353292,review,,
JDK-8353301,review,,
JDK-8353518,excluded,doc_or_test,"keywords=open source,test"
JDK-8353520,review,,
JDK-8353522,excluded,non_windows11_platform,targets=linux
JDK-8353524,review,,
JDK-8353525,excluded,doc_or_test,"keywords=open source,test"
JDK-8353528,review,,
JDK-8353534,excluded,doc_or_test,"keywords=open source,test"
JDK-8353535,excluded,doc_or_test,"keywords=open source,test"
JDK-8353536,review,,
JDK-8353538,review,,
JDK-8353540,review,,
JDK-8353645,review,,
JDK-8353646,review,,
JDK-8353647,review,,
JDK-8353648,review,,
JDK-8353650,review,,
JDK-8353651,review,,
JDK-8353652,review,,
JDK-8353653,review,,
JDK-8353654,excluded,gc_related,component=hotspot/gc
JDK-8353675,review,,
JDK-8353676,review,,
JDK-8353690,review,,
JDK-8353700,excluded,doc_or_test,"keywords=open source,test"
JDK-8353701,excluded,doc_or_test,"keywords=open source,test"
JDK-8353702,excluded,doc_or_test,"keywords=open source,test"
JDK-8353703,excluded,doc_or_test,"keywords=open source,test"
JDK-8353852,review,,
JDK-8353853,review,,
JDK-8353864,review,,
JDK-8353865,review,,
JDK-8353866,excluded,doc_or_test,"keywords=open source,test"
JDK-8353867,excluded,gc_related,component=hotspot/gc
JDK-8353870,excluded,doc_or_test,"keywords=open source,test"
JDK-8353872,excluded,doc_or_test,"keywords=open source,test"
JDK-8353874,excluded,doc_or_test,"keywords=open source,test"
JDK-8353876,excluded,doc_or_test,"keywords=open source,test"
JDK-8353877,review,,
JDK-8353893,excluded,gc_related,component=hotspot/gc
JDK-8353894,review,,
JDK-8353900,review,,
JDK-8353901,excluded,gc_related,component=hotspot/gc; keywords=\bgc\b
JDK-8353921,review,,
JDK-8353922,excluded,gc_related,component=hotspot/gc; keywords=\bg1\b
JDK-8354058,review,,
JDK-8354165,review,,
JDK-8354185,review,,
JDK-8354197,review,,
JDK-8354199,review,,
JDK-8354201,excluded,doc_or_test,"keywords=open source,test"
JDK-8354202,excluded,doc_or_test,"keywords=open source,test"
JDK-8354203,excluded,doc_or_test,"keywords=open source,test"
JDK-8354206,excluded,doc_or_test,"keywords=open source,test"
JDK-8354207,excluded,doc_or_test,"keywords=open source,test"
JDK-8354208,excluded,doc_or_test,"keywords=open source,test"
JDK-8354267,review,,
JDK-8354349,review,,
JDK-8354367,review,,
JDK-8354369,review,,
JDK-8354373,excluded,doc_or_test,"keywords=open source,test"
JDK-8354374,excluded,doc_or_test,"keywords=open source,test"
JDK-8354375,excluded,doc_or_test,"keywords=open source,test"
JDK-8354377,excluded,doc_or_test,"keywords=open source,test"
JDK-8354378,excluded,doc_or_test,"keywords=open source,test"
JDK-8354379,excluded,doc_or_test,"keywords=open source,test"
JDK-8354384,excluded,doc_or_test,"keywords=open source,test"
JDK-8354385,excluded,doc_or_test,"keywords=open source,test"
JDK-8354422,excluded,doc_or_test,"keywords=open source,test"
JDK-8354423,excluded,doc_or_test,"keywords=open source,test"
JDK-8354425,excluded,doc_or_test,"keywords=open source,test"
JDK-8354429,review,,
JDK-8354444,review,,
JDK-8354494,review,,
JDK-8354528,review,,
JDK-8354533,review,,
JDK-8354633,review,,
JDK-8354635,excluded,doc_or_test,"keywords=open source,test"
JDK-8354638,review,,
JDK-8354640,review,,
JDK-8354648,review,,
JDK-8354649,excluded,non_windows11_platform,targets=macos
JDK-8354654,review,,
JDK-8354786,excluded,doc_or_test,"keywords=open source,test"
JDK-8354787,excluded,doc_or_test,"keywords=open source,test"
JDK-8354788,excluded,doc_or_test,"keywords=open source,test"
JDK-8354790,excluded,doc_or_test,"keywords=open source,test"
JDK-8354893,review,,
JDK-8354923,review,,
JDK-8355035,review,,
JDK-8355057,review,,
JDK-8355100,review,,
JDK-8355112,review,,
JDK-8355117,review,,
JDK-8355121,excluded,doc_or_test,"keywords=open source,test"
JDK-8355149,review,,
JDK-8355151,review,,
JDK-8355169,review,,
JDK-8355212,excluded,gc_related,keywords=\bshenandoah\b
JDK-8355549,review,,
JDK-8355550,review,,
JDK-8355552,review,,
JDK-8355709,review,,
JDK-8355710,review,,
JDK-8355712,review,,
JDK-8355714,review,,
