issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8353082,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source closed frame tests # 4,client-libs,java.awt,,21.0.8
JDK-8353096,21.0.8,needs_review,interop,,要確認,,,URLConnection.getLastModified() leaks file handles for jar:file and file: URLs,core-libs,java.net,,21.0.8
JDK-8353102,21.0.8,excluded,gc,,対応不要,component=hotspot/gc; keywords=\bg1\b,gc_related,G1: NUMA migrations cause crashes in region allocation,hotspot,gc,,21.0.8
JDK-8353128,21.0.8,needs_review,runtime_core,,要確認,,,JFR: Split JFRCheckpoint VM operation,hotspot,jfr,,21.0.8
JDK-8353140,21.0.8,needs_review,classlib,,要確認,,,Desktop.browse method fails if earlier CoInitialize call as COINIT_MULTITHREADED,client-libs,java.awt,,21.0.8
JDK-8353292,21.0.8,needs_review,runtime_core,,要確認,,,Replaying compilation with null static final fields results in a crash,hotspot,compiler,,21.0.8
JDK-8353301,21.0.8,needs_review,classlib,,要確認,,,Primitive caches must use boxed instances from the archive,core-libs,java.lang,,21.0.8
JDK-8353518,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several Swing HTMLEditorKit related tests,client-libs,javax.swing,,21.0.8
JDK-8353520,21.0.8,needs_review,classlib,,要確認,,,Convert and Opensource few JFileChooser applet test to main,client-libs,javax.swing,,21.0.8
JDK-8353522,21.0.8,excluded,runtime_core,,対応不要,targets=linux,non_windows11_platform,Make os::Linux::active_processor_count() public,hotspot,runtime,,21.0.8
JDK-8353524,21.0.8,needs_review,classlib,,要確認,,,Opensource few AWT PopupMenu tests,client-libs,java.awt,,21.0.8
JDK-8353525,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT focus tests - series 3,client-libs,java.awt,,21.0.8
JDK-8353528,21.0.8,needs_review,classlib,,要確認,,,Opensource few AWT image tests,client-libs,java.awt,,21.0.8
JDK-8353534,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several Java2D rendering loop tests.,client-libs,2d,,21.0.8
JDK-8353535,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT PopupMenu tests,client-libs,java.awt,,21.0.8
JDK-8353536,21.0.8,needs_review,runtime_core,,要確認,,,More reliable OOM handling in ExceptionDuringDumpAtObjectsInitPhase test,hotspot,runtime,,21.0.8
JDK-8353538,21.0.8,needs_review,classlib,,要確認,,,Update HarfBuzz to 10.4.0,client-libs,2d,,21.0.8
JDK-8353540,21.0.8,needs_review,classlib,,要確認,,,Update Libpng to 1.6.47,client-libs,java.awt,,21.0.8
JDK-8353645,21.0.8,needs_review,classlib,,要確認,,,java/io/File/GetXSpace.java fails on Windows with CD-ROM drive,core-libs,java.io,,21.0.8
JDK-8353646,21.0.8,needs_review,interop,,要確認,,,Wrong timeout computations in DnsClient,core-libs,javax.naming,,21.0.8
JDK-8353647,21.0.8,needs_review,interop,,要確認,,,com/sun/jndi/dns/ConfigTests/Timeout.java failed intermittent,core-libs,javax.naming,,21.0.8
JDK-8353648,21.0.8,needs_review,runtime_core,,要確認,,,Remove unused UseNUMA in os_aix.cpp,hotspot,runtime,,21.0.8
JDK-8353650,21.0.8,needs_review,runtime_core,,要確認,,,C2: Loop strip mining uses ABS with min int,hotspot,compiler,,21.0.8
JDK-8353651,21.0.8,needs_review,runtime_core,,要確認,,,C2: VectorInsertNode::make() shouldn't call ConINode::make() directly,hotspot,compiler,,21.0.8
JDK-8353652,21.0.8,needs_review,runtime_core,,要確認,,,Incorrect TraceLoopPredicate output,hotspot,compiler,,21.0.8
JDK-8353653,21.0.8,needs_review,runtime_core,,要確認,,,Fatal error in auto-vectorizer with float16 kernel.,hotspot,compiler,,21.0.8
JDK-8353654,21.0.8,excluded,gc,,対応不要,component=hotspot/gc,gc_related,ShenandoahHeap::is_in should check for alive regions,hotspot,gc,,21.0.8
JDK-8353675,21.0.8,needs_review,runtime_core,,要確認,,,Caller/callee param size mismatch in deoptimization causes crash,hotspot,compiler,,21.0.8
JDK-8353676,21.0.8,needs_review,runtime_core,,要確認,,,SIGFPE In ObjectSynchronizer::is_async_deflation_needed(),hotspot,runtime,,21.0.8
JDK-8353690,21.0.8,needs_review,classlib,,要確認,,,PNGImageWriter uses much more memory than necessary,client-libs,javax.imageio,,21.0.8
JDK-8353700,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source some of the AWT Geometry/Button tests,client-libs,java.awt,,21.0.8
JDK-8353701,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few more AWT Frame related tests,client-libs,java.awt,,21.0.8
JDK-8353702,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source closed frame tests # 3,client-libs,java.awt,,21.0.8
JDK-8353703,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source additional Component tests (part 3),client-libs,java.awt,,21.0.8
JDK-8353852,21.0.8,needs_review,classlib,,要確認,,,[ubsan] exclude function BilinearInterp and ShapeSINextSpan in libawt java2d from ubsan checks,client-libs,2d,,21.0.8
JDK-8353853,21.0.8,needs_review,runtime_core,,要確認,,,[ubsan] block.cpp:1617:30: runtime error: 9.97582e+36 is outside the range of representable values of type 'int',hotspot,compiler,,21.0.8
JDK-8353864,21.0.8,needs_review,classlib,performance_regression,要確認,,,Opensource five more Swing regression tests,client-libs,javax.swing,,21.0.8
